章节,章节名称,命令,命令标题,命令类型,命令格式,响应,响应校正,示例命令,功能描述,备注,表数量,顺序,参数,参数json
1,基础命令,AT+CGMM,查询模组型号,执行,AT+CGMM,<CR><LF>OK<CR><LF>,,"AT+CGMM

OK","查询模组型号。
命令格式",说明示例11,1,11,- `<model>`：模组型号,"{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+GMM,查询模组型号,执行,AT+GMM,<CR><LF>OK<CR><LF>,,"AT+GMM

OK","查询模组型号。
命令格式",说明示例12,1,12,- `<model>`：模组型号。,"{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+IPR,设置模组波特率,执行,AT+IPR,<CR><LF>OK<CR><LF>,,"AT+IPR

OK","设置模组波特率,默认掉电保存。
若波特率查询返回为0,表示模组波特率自适应。默认为波特率自适应（备注：自适应波特率不超过115200）。
命令格式",说明示例13,1,13,"- `<baud rate>`：波特率
(0,1200,2400,4800,9600,14400,19200,28800,38400,57600,115200,256000,512000,921600)","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+CFUN,设置模组功能,执行,AT+CFUN,<CR><LF>OK<CR><LF>,,"AT+CFUN

OK","通过设置<fun>来选择模组的功能。<fun>只支持某些值。
设置该参数后,掉电不保存。
命令格式",说明示例14,1,14,"- `<fun>`：0：最小功能（turn off radio and SIM power）
1：全功能（默认）
4：关闭模组的发送和接收射频电路（飞行模式）
9：升级功能（可通过上位机工具升级版本）
  - `0`: 最小功能（turn off radio and SIM power）
  - `1`: 全功能（默认）
  - `4`: 关闭模组的发送和接收射频电路（飞行模式）
  - `9`: 升级功能（可通过上位机工具升级版本）

- `<rst>`：0：do not reset the MT before setting it to <fun> power level
1：reset the MT before setting it to <fun> power level
  - `0`: do not reset the MT before setting it to <fun> power level
  - `1`: reset the MT before setting it to <fun> power level","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+CMUX,串口多路复用指令,执行,AT+CMUX,<CR><LF>OK<CR><LF>,,"AT+CMUX

OK","启用通信模组串口多路复用功能。
基于一个物理通信串口,通过规范协议虚拟出两个甚至多个串口,一般虚拟三个串口,一个串口进行外部协议栈拨号上网,另外两个收发AT指令。建议使用AT+CMUX=0启用串口多路复用功能。
建议使用AT+CMUX=0启用串口多路复用功能。
命令格式",说明示例15,1,15,"- `<mode>`：整数类型，MUX打开状态下的模式，本规范中至少需要支持基本模式
0：基本模式（默认值）
1：增强模式（目前不支持）
  - `0`: 基本模式（默认值）
  - `1`: 增强模式（目前不支持）

- `<subset>`：整数类型，帧格式子集
0：UIH frames used only（默认值）
1：UI frames used only（目前不支持）
2：目前不支持
  - `0`: UIH frames used only（默认值）
  - `1`: UI frames used only（目前不支持）
  - `2`: 目前不支持

- `<port_speed>`：整数类型，串口速率
1：9600bit/s
2：19200bit/s
3：38400bit/s
4：57600bit/s
5：115200bit/s（默认值）
6：230400bit/s
7：目前不支持
8：目前不支持
  - `1`: 9600bit/s
  - `2`: 19200bit/s
  - `3`: 38400bit/s
  - `4`: 57600bit/s
  - `5`: 115200bit/s（默认值）
  - `6`: 230400bit/s
  - `7`: 目前不支持
  - `8`: 目前不支持

- `<N1>`：整数类型，最大帧长，1~32768；目前仅支持的设置范围为1~2048
基本模式下默认值31
增强模式下默认值64

- `<T1>`：整数类型，接收确认定时器，1~255，1代表10ms，默认值为10（100ms）

- `<N2>`：整数类型，最大重连次数，0~100，默认值为3，目前仅支持0~5

- `<T2>`：整数类型，多路控制通道响应定时器，2~255，2代表20ms，默认值为30（300ms）

- `<T3>`：整数类型，唤醒响应定时器，1~255，1代表1s，默认值为10（10s）
（目前不支持该参数，读命令时返回0值）

- `<k>`：整数类型，窗口大小，1~7，默认值为2，用于支持错误恢复的增强模式。
（目前不支持该参数，读命令时返回0值）","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+CCLK,时钟管理,执行,AT+CCLK,<CR><LF>OK<CR><LF>,,"AT+CCLK

OK","设置和查询模组的实时时钟。
设置的时间立即生效,掉电保存,默认时钟为0时区,使用1/4时区。
命令格式",说明示例16,1,16,"- `<time>`：字符串，格式为 “yy/MM/dd,hh:mm:ss[TZ]”，指示年、月、日、小时、分钟、秒
  - `格式为`: “yy/MM/dd
  - `hh`: mm:ss[TZ]”

- `TZ`：2位数字表示当地时间与GMT之间时差。
该信息可选，只有当网络支持时该信息才显示。当地时间为GMT时间时不显示。","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+CPIN,输入PIN码,执行,AT+CPIN,<CR><LF>OK<CR><LF>,,"AT+CPIN

OK","查询PIN状态以及输入PIN码。
若要输入PIN码,需锁定当前SIM卡（AT+CLCK=""SC"",1,""1234""）后,重启模组才能输入PIN码,输入三次错误的PIN码后,会要求输入PUK码才能解锁。
命令格式",说明示例17,1,17,"- `<pin>, <newpin>`：字符串类型

- `<code>`：READY：不需要输入任何密码
NO SIM：未检测到卡
SIM PIN：需要输入PIN码
SIM PUK：需要输入PUK码
SIM PIN2：需要输入PIN2码
SIM PUK2：需要输入PUK2码
  - `READY`: 不需要输入任何密码
  - `NO SIM`: 未检测到卡
  - `SIM PIN`: 需要输入PIN码
  - `SIM PUK`: 需要输入PUK码
  - `SIM PIN2`: 需要输入PIN2码
  - `SIM PUK2`: 需要输入PUK2码","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+CLCK,PIN使能与查询功能指令,执行,AT+CLCK,<CR><LF>OK<CR><LF>,,"AT+CLCK

OK","锁、解锁以及查询MT和网络设备。设置该参数,重启模组后生效。
命令格式",说明示例18,1,18,"- `<fac>`：需带双引号""""
""OI""：呼出国际电话
""SC""：SIM卡
""AO""：呼出电话
""OX""：除了归属地外所有呼出国际电话
""FD""：SIM卡固定拨号空间
  - `""OI""`: 呼出国际电话
  - `""SC""`: SIM卡
  - `""AO""`: 呼出电话
  - `""OX""`: 除了归属地外所有呼出国际电话
  - `""FD""`: SIM卡固定拨号空间

- `<mode>`：0：解锁
1：锁定
2：查询状态
  - `0`: 解锁
  - `1`: 锁定
  - `2`: 查询状态

- `<status>`：0：not active
1：active
  - `0`: not active
  - `1`: active

- `<passwd>`：密码或操作码，字符串类型，需带双引号""""

- `<classx>`：1：语音服务类型
2：数据服务类型
4：fax服务类型
8：短消息
16：同步数据业务
32：异步数据业务
64：专用包接入
128：专用数据包装拆器接入
  - `1`: 语音服务类型
  - `2`: 数据服务类型
  - `4`: fax服务类型
  - `8`: 短消息
  - `16`: 同步数据业务
  - `32`: 异步数据业务
  - `64`: 专用包接入
  - `128`: 专用数据包装拆器接入","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+CPWD,修改密码指令,执行,AT+CPWD,<CR><LF>OK<CR><LF>,,"AT+CPWD

OK","修改模组锁功能的密码。
若需修改PIN码,需锁定SIM卡（AT+CLCK=""SC"",1,""1234""）后才能修改。
命令格式",说明示例19,1,19,"- `<fac>`：需带双引号""""
""P2""：SIM PIN2
""SC""：SIM卡
  - `""P2""`: SIM PIN2
  - `""SC""`: SIM卡

- `<oldpwd>`：需带双引号""""，旧密码或操作码，字符串类型

- `<newpwd>`：需带双引号""""，新密码或操作码，字符串类型","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+CGDCONT,设置PDP格式,执行,AT+CGDCONT,<CR><LF>OK<CR><LF>,,"AT+CGDCONT

OK","设置GPRS的PDP（Packet Data Protocol,分组数据协议）格式。APN允许设置的长度最长是50。
命令格式",说明示例20,1,20,"- `<cid>`：(PDP Context Identifier)一个数字参数，指定一个PDP上下文定义，这个参数是当地的TE-MT接口并且被应用到其他PDP上下文相关的命令当中，使用查询命令可以查询到允许的值(最小值为1)。
  - `(PDP`: Context Identifier)一个数字参数
  - `这个参数是当地的TE`: MT接口并且被应用到其他PDP上下文相关的命令当中

- `<PDP_type>`：(Packet Data Protocol type)字符串参数，用于指定分组数据协议的类型
“IP”网络协议（Internet Protocol）（IETFSTD 5）
  - `(Packet`: Data Protocol type)字符串参数
  - `“IP”网络协议（Internet`: Protocol）（IETFSTD 5）

- `<APN>`：(Access Point Name)字符串形式，是一个逻辑名称，用来选择GGSN或者外部分组数据网。
  - `(Access`: Point Name)字符串形式

- `<PDP_address>`：字符串形式，用来在地址空间中区分MT。
如果不写这个参数，则在PDP的启动过程当中由TE提供这个值。
如果TE提供失败，就请求动态地址，即使在PDP的启动过程当中分配了地址，在使用这条指令查询的时候仍然会返回空。

- `<d_comp>`：数字参数用来控制PDP数据压缩（仅适用于SNDCP）
0 - off (缺省情况下默认值)
  - `0`: off (缺省情况下默认值)

- `<h_comp>`：数字参数用来控制PDP头部压缩0 - off (缺省情况下默认值)
  - `数字参数用来控制PDP头部压缩0`: off (缺省情况下默认值)

- `<pd1>, … <pdN>`：0到N，字符串类型，意义与<PDP_type>有关","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+XGAUTH,用户认证,执行,AT+XGAUTH,<CR><LF>OK<CR><LF>,,"AT+XGAUTH

OK","PDP认证。
该指令要放在AT+CGDCONT这条指令后面。目前在专网中各个地方逐渐增加了用户身份认证需求,使用内部协议栈,需要使用到这条指令,因此,请在代码流程上加上这条指令。
联通卡默认用户名和密码是“card”和“card”。
<cid>对应+CGDCONT中的<cid>。
<name>和<pwd>允许设置的最大字符串长度都是50
命令格式",说明示例21,1,21,"- `<cid>`：(PDP Context Identifier)一个数字参数，指定一个PDP上下文定义
<cid>对应+CGDCONT中的<cid>。
  - `(PDP`: Context Identifier)一个数字参数

- `<auth>`：鉴权类型，默认为1
0：NONE
1：PAP
2：CHAP
鉴权类型为非NONE时，需带<name>和<pwd>参数
  - `0`: NONE
  - `1`: PAP
  - `2`: CHAP

- `<name>`：用户名

- `<pwd>`：密码","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+CGATT,设置GPRS附着和分离,执行,AT+CGATT,<CR><LF>OK<CR><LF>,,"AT+CGATT

OK","该指令用来查询、设置GPRS附着和分离。掉电不保存。
模组默认情况下,会主动进行GPRS附着。
进行PPP连接之前要确保GPRS是处于附着状态,AT流程增加查询指令AT+CGATT?：
如果返回值是1,则可以直接进行PPP连接,如果返回值是0,则需进行手动附着,即AT+CGATT=1。
命令格式",说明示例22,1,22,"- `<state>`：取值范围（0,1）
0：表示分离
1：表示附着
  - `0`: 表示分离
  - `1`: 表示附着","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,ATE1,/ATE0：打开&关闭回显,执行,ATE1,<CR><LF>OK<CR><LF>,,"ATE1

OK","打开（或关闭）模组AT指令回显功能。
该模组默认回显功能为打开状态。
该指令设置后掉电不保存。
命令格式",说明示例23,1,23,"- `<value>`：回显开关
0 关闭回显（默认）
1 打开回显
  - `0`: 关闭回显（默认）
  - `1`: 打开回显","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,ATD,*99#：GPRS,执行,ATD,<CR><LF>OK<CR><LF>,,"ATD

OK","使用外部协议栈,进行GPRS拨号连接。
进行拨号之前一定要确保CREG已经注册成功,并且设置了APN。
命令格式",说明示例24,0,24,,"{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+CESQ,扩展信号强度,执行,AT+CESQ,<CR><LF>OK<CR><LF>,,"AT+CESQ

OK",查询扩展信号强度。,说明示例25,1,25,"- `<rxlev>`：信号接收功率

- `<ber>`：误码率

- `<ecno>`：下行载波干扰比率

- `<rsrq>`：参考信号质量

- `<rsrp>`：参考信号接收功率","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+NWDNS,域名解析,执行,AT+NWDNS,<CR><LF>OK<CR><LF>,,"AT+NWDNS

OK","内置协议栈拨号后,查询DNS解析结果。
先使用AT+XIIC命令拨号成功后,才能执行该命令。
域名填入不校验正确性,需保证填入内容的正确性。
命令格式",说明示例26,1,26,"- `<hostname>`：字符串，域名，可不带双引号，最大长度128

- `<IP>`：字符串，IP地址

- `<Sign>`：字符串，IP类型，IPV4，IPV6","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+NWENPWRSAVE,休眠（Sleep）设置,执行,AT+NWENPWRSAVE,<CR><LF>OK<CR><LF>,,"AT+NWENPWRSAVE

OK","设置是否允许模组进入休眠（Sleep）模式。该命令设置掉电不保存。
模组DTR信号默认为低电平：
发送允许进入休眠模式指令之后,且模组DTR信号为低（或高）电平,模组内部各个部分的电路都允许进入休眠状态模组才能进入休眠。
命令格式",说明示例27,1,27,"- `<n>`：0：不允许进入休眠模式（默认）
1：允许进入休眠模式（DTR信号低电平进入休眠，高电平退出休眠）
2：允许进入休眠模式（DTR信号高电平进入休眠，低电平退出休眠）
  - `0`: 不允许进入休眠模式（默认）
  - `1`: 允许进入休眠模式（DTR信号低电平进入休眠
  - `2`: 允许进入休眠模式（DTR信号高电平进入休眠

- `<usb>`：0：不允许USB远程休眠唤醒（缺省）
1：使能USB远程休眠唤醒（USB主机挂起USB总线模组才能进入休眠，USB主机恢复USB总线会唤醒模组，有网络下行事件（数据、短信、电话）时模组会通过USB总线唤醒USB主机）
  - `0`: 不允许USB远程休眠唤醒（缺省）
  - `1`: 使能USB远程休眠唤醒（USB主机挂起USB总线模组才能进入休眠","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
